REGIÃO;UF;MUNICÍPIO ;COMUNIDADE;Nº PROCESSO NA FCP;DATA DA ABERTURA;ETAPA ATUAL PROCESSO FCP;Nº DA PORTARIA;DATA DA PORTARIA NO DOU;Nº PROCESSO INCRA;ETAPA DO PROCESSO DE TITULAÇÃO
SUL;RS;MAQUINÉ | OSÓRIO;MORRO ALTO;01420.000014/2003-04;09/01/2003;CERTIFICADA;19/2004;04/06/2004;54220.001201/2004-09;RTID
NORDESTE;PI;QUEIMADA NOVA;TAPUIO;01420.000052/2004-30;03/02/2004;CERTIFICADA;19/2004;04/06/2004;54380.001320/2004-11 ;RTID
NORDESTE;PI;QUEIMADA NOVA;SUMIDOURO;01420.000051/2004-95;03/02/2004;CERTIFICADA;19/2004;04/06/2004;54380.001323/2004-54 ;
SUL;RS;RESTINGA SECA;RINCÃO DOS MARTINIANOS;01420.000036/2003-66;09/01/2003;CERTIFICADA;19/2004;04/06/2004;54220.000258/2005-63;TITULAÇÃO PARCIAL
SUL;RS;RESTINGA SECA;SÃO MIGUEL;01420.000034/2003-77;09/01/2003;CERTIFICADA;19/2004;04/06/2004;54220.000257/2005-19;DECRETO NO DOU
SUL;RS;MOSTARDAS;CASCA;01420.000598/2001-48;18/07/2001;CERTIFICADA;19/2004;04/06/2004;54220.001202/2004-45;TITULAÇÃO PARCIAL
SUL;RS;GRAVATAÍ;MANOEL BARBOSA;01420.000146/2003-28;04/09/2003;CERTIFICADA;19/2004;04/06/2004;54220.001830/2004-21;DECRETO NO DOU
SUDESTE;MG;SÃO JOÃO DA PONTE | VARZELÂNDIA | VERDELÂNDIA;BREJO DOS CRIOULOS (composta pelos povoados: Arapuín, Araruba, Cabaceiros, Caxambu, Conrado e Furado Seco);01420.000308/1999-90;02/04/2004;CERTIFICADA;19/2004;04/06/2004;54170.008821/0203-12;DECRETO NO DOU
SUL;SC;ABDON BATISTA | CAMPOS NOVOS;INVERNADA DOS NEGROS;01420.000155/2004-08;02/04/2004;CERTIFICADA;19/2004;04/06/2004;54210.000354/2004-40 ;TITULAÇÃO PARCIAL
SUL;RS;RIO PARDO;RINCÃO DOS NEGROS;01420.000267/2003-70;31/01/2011;CERTIFICADA;19/2004;04/06/2004;54220.000398/2005-31;RTID
NORDESTE;MA;MATA ROMA;BOM SUCESSO DOS NEGROS;01420.000319/1998-90;16/09/1998;CERTIFICADA;19/2004;04/06/2004;54230.003668/2005-47 ;
NORDESTE;RN;PARELHAS;BOA VISTA DOS NEGROS;01420.000004/2002-80;11/01/2002;CERTIFICADA;19/2004;04/06/2004;54330.001762/2004-52 ;DECRETO NO DOU
CENTRO-OESTE;GO;NOVA ROMA;QUILOMBOLA DO MAGALHÃES;01420.000121/2004-13;22/03/2004;CERTIFICADA;19/2004;04/06/2004;54700.000956/2006-47 ;DECRETO NO DOU
NORDESTE;SE;PORTO DA FOLHA;MOCAMBO;01420.000039/1997-09;24/02/1997;CERTIFICADA;19/2004;04/06/2004;54700.000256/2005-51 ;TRD  - Despacho de 15/07/2000 - 18/07/2000
NORDESTE;SE;AMPARO DE SÃO FRANCISCO | TELHA;LAGOA DOS CAMPINHOS;01420.000333/2003-10;11/09/2003;CERTIFICADA;19/2004;04/06/2004;54370.000520/2004-75 ;TITULAÇÃO PARCIAL
NORTE;RO;SÃO FRANCISCO DO GUAPORÉ;SANTO ANTÔNIO DO GUAPORÉ;01420.000359/2003-50;21/10/2003;CERTIFICADA;19/2004;04/06/2004;54300.000746/2005-81 ;RTID
NORDESTE;BA;BOM JESUS DA LAPA | MALHADA;NOVA BATALHINHA;01420.000188/2003-69;28/04/2003;CERTIFICADA;35/2004;10/12/2004;54160.001500/2006-59;DECRETO NO DOU
NORDESTE;PB;SANTA LUZIA;SERRA DO TALHADO;01420.000195/2004-41;14/04/2004;CERTIFICADA;19/2004;04/06/2004;54320.000417/2005-00 ;PORTARIA NO DOU
NORTE;PA;SANTARÉM;SARACURA;01420.000270/2004-74;11/05/2004;CERTIFICADA;19/2004;04/06/2004;54105.002169/2003-14 ;PORTARIA NO DOU
NORDESTE;BA;BOM JESUS DA LAPA;ARAÇÁ, CARIACA, COXO, RETIRO, PATOS E PEDRA;01420.000274/1998-99;03/08/1998;CERTIFICADA;19/2004;04/06/2004;54160.001788/2005-81;RTID
NORTE;PA;SALVATERRA;CAMPINA;01420.000188/2004-40;14/04/2004;CERTIFICADA;19/2004;04/06/2004;54100.000321/2004-47 ;
NORTE;PA;SANTARÉM;ARAPEMÃ;01420.000011/2004-43;19/01/2004;CERTIFICADA;19/2004;04/06/2004;54105.002167/2003-13;PORTARIA NO DOU
NORTE;PA;VISEU | BOA VISTA DO GURUPI;PACA E ANINGAL;01420.000189/2004-94;14/04/2004;CERTIFICADA;19/2004;04/06/2004;54100.002084/2003-78;TITULADO
NORTE;PA;CACHOEIRA DO PIRIÁ;BELA AURORA;01420.000425/2002-19;09/09/2002;CERTIFICADA;19/2004;04/06/2004;54100.000552/2004-51;
NORDESTE;MA;ITAPECURU-MIRIM;SANTA MARIA DOS PINHEIROS;01420.000008/1999-10;15/01/1999;CERTIFICADA;19/2004;04/06/2004;54230.003776/2004-39 ;RTID
NORDESTE;MA;SANTA RITA;SANTA LUZIA;01420.000255/2004-26;11/05/2004;CERTIFICADA;19/2004;04/06/2004;54230.002866/2007-55 ;
NORDESTE;MA;ITAPECURU-MIRIM;MATA DE SÃO BENEDITO;01420.000254/2004-81;11/05/2004;CERTIFICADA;19/2004;04/06/2004;54230.001494/2005-88 ;TITULAÇÃO PARCIAL
NORDESTE;BA;WANDERLEY;RIACHO DA SACUTIABA e SACUTIABA;01420.000096/1997-51;18/04/1997;CERTIFICADA;19/2004;04/06/2004;54160.003689/2004-52;RTID
NORDESTE;BA;BREJOLÂNDIA | MUQUÉM DE SÃO FRANCISCO | SÍTIO DO MATO;JATOBÁ;01420.000323/1999-83;12/07/1999;CERTIFICADA;35/2004;10/12/2004;54160.003688/2004-16;
NORTE;PA;BAIÃO;FUGIDO RIO TUCUNARÉ;01420.000519/2003-61;25/11/2003;CERTIFICADA;35/2004;10/12/2004;54100.016347/2009-11 ;
NORDESTE;BA;SIMÕES FILHO;DANDÁ;01420.000364/2002-81;08/08/2002;CERTIFICADA;35/2004;10/12/2004;54160.000234/2006-47;DECRETO NO DOU
SUDESTE;SP;ELDORADO;ANDRÉ LOPES;01420.000584/2004-77;27/08/2004;CERTIFICADA;35/2004;10/12/2004;54190.003185/2004-05 ;
NORDESTE;BA;BOM JESUS DA LAPA | MALHADA | RIACHO DE SANTANA;RIO DAS RÃS;01420.000391/1995-74;10/11/1997;CERTIFICADA;35/2004;10/12/2004;54160.002525/2013-07;TRD  - Despacho de 15/07/2000 - 18/07/2000
SUL;RS;PORTO ALEGRE;FAMÍLIA SILVA;01420.000240/2003-87;11/06/2003;CERTIFICADA;35/2004;10/12/2004;54220.022094/2004-28;TITULADA FCP
SUL;RS;PORTO ALEGRE;AREAL LUIZ GUARANHA;01420.000304/2004-21;28/05/2004;CERTIFICADA;35/2004;10/12/2004;54220.000401/2005-97;PORTARIA NO DOU
SUL;RS;SERTÃO;MORMAÇA;01420.000015/2003-41;09/01/2003;CERTIFICADA;35/2004;10/12/2004;54220.001784/2005-41;PORTARIA NO DOU
SUL;RS;SERTÃO;ARVINHA;01420.000035/2003-11;09/01/2003;CERTIFICADA;35/2004;10/12/2004;54220.001305/2005-96;PORTARIA NO DOU
SUDESTE;MG;PARACATU;FAMÍLIA DOS AMAROS;01420.000198/2002-13;04/08/2009;CERTIFICADA;35/2004;10/12/2004;54170.008897/2003-48 ;RTID
SUDESTE;RJ;CABO FRIO | SÃO PEDRO DA ALDEIA;CAVEIRA;01420.000059/1999-33;27/11/1998;CERTIFICADA;35/2004;10/12/2004;54180.001482/2004-13 ;PORTARIA NO DOU
SUL;SC;PRAIA GRANDE | MAMPITUBA;SÃO ROQUE;01420.000381/2004-81;31/01/2011;CERTIFICADA;35/2004;10/12/2004;54210.000262/2005-41 ;RTID
NORDESTE;BA;CACHOEIRA;CAONGE, DENDÊ, ENGENHO DA PONTE, ENGENHO DA PRAIA E KALEMBA;01420.000363/2004-07;21/06/2004;CERTIFICADA;35/2004;10/12/2004;54160.003747/2011-77;RTID
NORDESTE;BA;CACHOEIRA;CAIMBONGO;01420.000364/2004-43;21/06/2004;CERTIFICADA;35/2004;10/12/2004;54160.000244/2013-10;
NORDESTE;BA;CACHOEIRA;CALOLÉ, IMBIARA E TOMBO;01420.000362/2004-54;23/06/2004;CERTIFICADA;35/2004;10/12/2004;54160.001064/2010-02;
NORDESTE;BA;CACHOEIRA;ENGENHO DA VITORIA;01420.000361/2004-18;21/06/2004;CERTIFICADA;35/2004;10/12/2004;;
SUDESTE;MG;SÃO FRANCISCO;BURITI DO MEIO;01420.000382/2004-25;14/06/2004;CERTIFICADA;35/2004;10/12/2004;54170.003747/2005-18;
NORTE;PA;SANTARÉM;BOM JARDIM;01420.000383/2004-70;14/06/2004;CERTIFICADA;35/2004;10/12/2004;54105.002171/2003-85 ;DECRETO NO DOU
SUDESTE;MG;VIÇOSA;BUIEIÉ;01420.000385/2004-69;25/06/2004;CERTIFICADA;35/2004;10/12/2004;54170.003746/2005-65;
NORDESTE;BA;BOM JESUS DA LAPA;JUÁ;01420.000184/1999-89;03/05/1999;CERTIFICADA;35/2004;10/12/2004;54160.001074/2010-30;
NORDESTE;BA;BOM JESUS DA LAPA;BANDEIRA;01420.000185/1999-41;03/05/1999;CERTIFICADA;35/2004;10/12/2004;54160.001074/2010-30;
NORDESTE;BA;MALHADA;PARATECA E PAU D'ARCO;01420.000051/1998-96;25/02/1998;CERTIFICADA;35/2004;10/12/2004;54160.003690/2004-87;TITULAÇÃO PARCIAL
NORDESTE;BA;SÍTIO DO MATO;BARRO VERMELHO E MANGAL;01420.000435/1997-45;29/12/1997;CERTIFICADA;35/2004;10/12/2004;54160.002608/2008-21;TRD  - Despacho de 15/07/2000 - 18/07/2000
NORDESTE;BA;BOM JESUS DA LAPA;LAGOA DO PEIXE;01420.000282/1998-08;03/08/1998;CERTIFICADA;35/2004;10/12/2004;54160.003687/2004-63;DECRETO NO DOU
NORDESTE;CE;TURURU;ÁGUA PRETA;01420.000346/2004-61;15/06/2004;CERTIFICADA;35/2004;10/12/2004;54130.003558/2005-11 ;RTID
NORDESTE;CE;TURURU;CONCEIÇÃO DOS CAETANOS;01420.000047/1998-28;25/02/1998;CERTIFICADA;35/2004;10/12/2004;54130.001695/2006-94 ;
SUDESTE;RJ;RIO DE JANEIRO;FAMÍLIA PINTO - Sacopã;01420.000425/1999-53;27/09/1999;CERTIFICADA;35/2004;10/12/2004;54180.000712/2005-18;
NORDESTE;BA;SIMÕES FILHO;PITANGA DOS PALMARES;01420.000351/2004-74;17/06/2004;CERTIFICADA;35/2004;10/12/2004;54160.001675/2008-28;
NORTE;TO;ARRAIAS;LAGOA DA PEDRA;01420.000389/2004-47;24/06/2004;CERTIFICADA;35/2004;10/12/2004;54400.001304/2006-12 ;
NORDESTE;MA;ITAPECURU-MIRIM;PIQUI E SANTA MARIA DOS PRETOS;01420.000257/2004-15;11/05/2004;CERTIFICADA;35/2004;10/12/2004;54230.001497/2005-11;TITULAÇÃO PARCIAL
SUL;PR;PINHÃO|GUARAPUAVA |RESERVA DO IGUAÇU;INVERNADA PAIOL DE TELHA;01420.000031/1997-06;13/02/1997;CERTIFICADA;35/2004;10/12/2004;54200.001727/2005-08 ;DECRETO NO DOU
SUDESTE;MG;PARACATU;MACHADINHO;01420.000256/2004-71;11/05/2004;CERTIFICADA;35/2004;10/12/2004;54170.003688/2005-70;RTID
SUDESTE;MG;PARACATU;SÃO DOMINGOS;01420.000339/1998-32;20/10/1998;CERTIFICADA;35/2004;10/12/2004;54170.000059/2004-15;RTID
NORDESTE;BA;MARAGOGIPE;SALAMINAS ;01420.000509/2004-14;13/08/2004;CERTIFICADA;35/2004;10/12/2004;54160.004694/2005-63;
NORDESTE;BA;SALVADOR;BANANEIRAS;01420.000510/2004-31;13/08/2004;CERTIFICADA;35/2004;10/12/2004;54160.001114/2008-29;RTID
NORTE;PA;SANTARÉM;TININGU;01420.000350/2004-20;15/06/2004;CERTIFICADA;35/2004;10/12/2004;54105.002172/2003-20 ;RTID
SUDESTE;RJ;CABO FRIO;PRETO FORRO;01420.000166/2003-07;14/04/2003;CERTIFICADA;35/2004;10/12/2004;54180.001270/2004-28;TITULADO
NORDESTE;PE;ÁGUAS BELAS;QUILOMBO;01420.000283/2002-81;20/06/2002;CERTIFICADA;35/2004;10/12/2004;54140.004353/2007-98 ;
SUDESTE;ES;CONCEIÇÃO DA BARRA;ANGELIM, ANGELIM DISA, ANGELIM II, ANGELIM III E CÓRREGO DO MACUCO;01420.002134/2006-81;31/08/2006;CERTIFICADA;35/2004;10/12/2004;54340.000131/2012-15 ;
NORDESTE;PE;PASSIRA;CHÃ DOS NEGROS;01420.000286/2002-15;20/06/2002;CERTIFICADA;35/2004;10/12/2004;54140.000266/2008-42 ;
NORDESTE;PE;GARANHUNS;TIMBÓ;01420.000352/2001-76;11/04/2001;CERTIFICADA;35/2004;10/12/2004;54140.000472/2005-18 ;RTID
NORDESTE;PE;BEZERROS;GUARIBAS;01420.000288/2002-12;20/06/2002;CERTIFICADA;35/2004;10/12/2004;54140.001175/2012-19 ;
NORTE;PA;GURUPÁ;JOCOJÓ;01420.000523/2004-18;16/08/2004;CERTIFICADA;35/2004;10/12/2004;;
NORDESTE;PE;SÃO BENTO DO UNA;SERROTE DO GADO BRABO;01420.000284/2002-26;20/06/2002;CERTIFICADA;35/2004;10/12/2004;54140.001634/2004-46 ;
NORTE;PA;GURUPÁ;ALTO IPIXUNA;01420.000529/2004-87;19/07/2004;CERTIFICADA;35/2004;10/12/2004;;
NORTE;PA;GURUPÁ;CARRAZEDO;01420.000525/2004-07;13/08/2004;CERTIFICADA;35/2004;10/12/2004;;
NORTE;PA;GURUPÁ;FLEXINHA;01420.000524/2004-54;16/08/2004;CERTIFICADA;35/2004;10/12/2004;54100.001488/2015-88;
NORTE;PA;GURUPÁ;GURUPÁ MIRIM;01420.000530/2004-10;19/07/2004;CERTIFICADA;35/2004;10/12/2004;;
NORTE;PA;GURUPÁ;MARIA RIBEIRA;01420.002754/2006-10;31/10/2006;CERTIFICADA;35/2004;10/12/2004;;
NORTE;PA;GURUPÁ;CAMUTÁ DO IPIXUNA;01420.000526/2004-43;12/08/2004;CERTIFICADA;35/2004;10/12/2004;;
NORTE;PA;GURUPÁ;SÃO FRANCISCO MÉDIO DO IPIXUNA;01420.001193/2005-51;03/06/2005;CERTIFICADA;35/2004;10/12/2004;;
NORTE;PA;GURUPÁ;BACÁ DO IPIXUNA;01420.000517/2004-52;12/08/2004;CERTIFICADA;35/2004;10/12/2004;;
NORTE;PA;GURUPÁ;ALTO PUCURUÍ;01420.000527/2004-98;12/08/2004;CERTIFICADA;35/2004;10/12/2004;;
SUDESTE;MG;JEQUITINHONHA;MUMBUCA;01420.000657/2004-21;28/09/2004;CERTIFICADA;35/2004;10/12/2004;54170.003745/2005-11;RTID
NORDESTE;BA;FILADÉLFIA;GAVIÃO;01420.000345/2004-17;20/02/2008;CERTIFICADA;35/2004;10/12/2004;;
NORDESTE;BA;FILADÉLFIA;RIACHO DAS PEDRINHAS;01420.000429/2004-51;15/07/2004;CERTIFICADA;35/2004;10/12/2004;54160.001818/2013-69;
NORDESTE;BA;FILADÉLFIA;CAJÁ;01420.000428/2004-14;20/08/2009;CERTIFICADA;35/2004;10/12/2004;;
NORDESTE;BA;WANDERLEY;CACHIMBO;01420.000580/2004-99;27/08/2004;CERTIFICADA;35/2004;10/12/2004;;
SUL;SC;PORTO BELO;VALONGO;01420.000528/2004-32;31/01/2011;CERTIFICADA;35/2004;10/12/2004;54210.001046/2006-01 ;
NORDESTE;BA;MALHADA;TOMÉ NUNES;01420.000604/2004-18;15/09/2004;CERTIFICADA;35/2004;10/12/2004;54160.001501/2008-65;
NORDESTE;RN;POÇO BRANCO;ACAUÃ;01420.000603/2004-65;15/09/2004;CERTIFICADA;35/2004;10/12/2004;54330.001908/2004-60 ;CDRU
SUDESTE;MG;JOÃO PINHEIRO;SANTANA DO CAATINGA;01420.000348/2004-51;15/06/2004;CERTIFICADA;35/2004;10/12/2004;54170.008056/2005-01;
SUDESTE;MG;VAZANTE;BAGRES;01420.000338/2003-34;12/09/2003;CERTIFICADA;35/2004;10/12/2004;54170.007020/2005-00;
NORDESTE;MA;ALCÂNTARA;ÁGUAS BELAS, APICUM GRANDE, ARENHENGAUA, BACANGA, BACURIAJUBA, BAIXA GRANDE I, BAIXA GRANDE II, BAIXO DO GRILO, BARACATATIUA, BARREIROS, BEBEDOURO, BEJÚ-AÇU, BELÉM, BOA VISTA I, BOA VISTA II, BOA VISTA III, BOCA DO RIO, BOM DE VIVER,  BOM JARDIM, BORDÃO, BRITO I, CAÇADOR, CAICAUA I, CAICAUA II, CAJAPARI,  CAJATIUA, CAJIBA, CAPIJUBA, CAJUEIRO II , CAMIRIM, CANAVIEIRA, CANELATIUA, CAPIM AÇU, CAPOTEIRO, CARATATIUA, CASTELO, CAVEM II, CENTRO DA EULÁLIA, CONCEIÇÃO, COQUEIRO, CORRE FRESCO, CUJUPE I, CUJUPE II, CURUÇÁ I, ENGENHO I, ESPERANÇA, FLORIDA, FORA CATIVEIRO, GUANDA I, GUANDA II, IGUAIBA, ILHA DA CAMBOA, IRIRIZAL, ISCOITO, ITAPERAÍ, ITAPIRANGA, ITAPUAUA, ITAUAÚ, JACARÉ I, JACROA, JANÃ, JARUCAIA, JORDOA, LADEIRA II, LAGO, MACAJUBAL I, MACAJUBAL II, MÃE EUGÊNIA, MAMONA I, MAMONA II, MANGUEIRAL, MANIVAL, MARACATI, MARIA PRETA, MARINHEIRO, MARMORANA, MATO GROSSO, MURARI, MUTITI, NOVA ESPERA, NOVA PONTA SECA, NOVO CAJUEIRO, NOVO MARUDA, NOVO PEPITAL, NOVO PERU, NOVO SÓ ASSIM, OITIUA, PACATIUA, PACURI, PALMEIRAS, PAQUATIVA, PAVÃO, PERI AÇU, PERIZINHO, PEROBA DE BAIXO, PEROBA DE CIMA, PIQUIA, PONTA D'AREIA, PORTO DA CINZA,  PORTO DE BAIXO, PORTO DE CABLOCO,  PORTO DO BOI I, PRAIA DE BAIXO, PRAINHA, PRIMIRIM,  QUIRIRITIUA, RAPOSA, RASGADO, RETIRO, RIO GRANDE I, RIO GRANDE II, RIO VERDE, SALINA, SAMUCANGAUA, SANTA BÁRBARA, SANTA HELENA, SANTA LUZIA, SANTA MARIA, SANTA RITA I, SANTA RITA II, SANTANA DOS CABLOCOS, SANTO INÁCIO, SÃO BENEDITO I, SÃO BENEDITO II, SÃO BENEDITO III, SÃO FRANCISCO I, SÃO FRANCISCO II, SÃO JOÃO DE CORTES, SÃO JOSÉ, SÃO LOURENÇO, SÃO MAURÍCIO, SÃO PAULO, SÃO RAIMUNDO II, SÃO RAIMUNDO III, SEGURADO, TACAUA I, TAPICUEM (ITAPECUEM), TAPUIO, TATUOCA, TATUROCA, TERRA MOLE, TERRA NOVA, TIMBOTUBA, TIQUARAS II, TRAJANO, TRAPUCARA, TRAQUAI, VAI COM DEUS, VILA ITAPERAÍ, VILA MARANHENSE, VILA NOVA I (VILA DO MEIO), VILA NOVA II e VISTA ALEGRE;01420.001033/2004-21;21/10/2004;CERTIFICADA;35/2004;10/12/2004;54230.002401/2006-13;RTID
NORDESTE;BA;SALVADOR;PRAIA GRANDE;01420.000388/2004-01;24/06/2004;CERTIFICADA;23/2005;25/05/2005;54160.001114/2008-29;RTID
NORDESTE;MA;PRESIDENTE VARGAS;FINCA PÉ;01420.001030/2004-97;04/11/2004;CERTIFICADA;23/2005;25/05/2005;54230.005013/2004-22;
NORDESTE;MA;ITAPECURU-MIRIM;IPIRANGA DO CARMINA;01420.001031/2004-31;09/11/2004;CERTIFICADA;23/2005;25/05/2005;54230.004778/2004-45;PORTARIA NO DOU
NORDESTE;MA;ITAPECURU-MIRIM;FILIPA;01420.001032/2004-89;09/11/2004;CERTIFICADA;23/2005;25/05/2005;54230.004784/2004-01 ;
NORDESTE;MA;SÃO LUÍS GONZAGA DO MARANHÃO;MONTE ALEGRE/OLHO D´ÁGUA DOS GRILOS;01420.001085/2004-05;12/11/2004;CERTIFICADA;23/2005;25/05/2005;54230.004781/2004-69 ;
SUDESTE;RJ;MANGARATIBA;ILHA DE MARAMBAIA;01420.000123/1999-86;24/03/1999;CERTIFICADA;23/2005;25/05/2005;54180.000945/2006-83 ;TITULADO
CENTRO-OESTE;GO;SILVÂNIA;ALMEIDAS;01420.000522/2004-65;16/08/2004;CERTIFICADA;23/2005;25/05/2005;54150.001540/2006-10 ;
NORDESTE;BA;CAMPO FORMOSO;LAGE DOS NEGROS;01420.000053/1998-85;25/02/1998;CERTIFICADA;23/2005;25/05/2005;54160.001193/2006-14;
NORDESTE;PB;GURINHÉM | MOGEIRO;MATÃO;01420.000656/2004-86;28/09/2004;CERTIFICADA;23/2005;25/05/2005;54320.000413/2005-13 ;DECRETO NO DOU
SUDESTE;MG;BIAS FORTES;COLÔNIA DO PAIOL;01420.000433/1997-39;24/12/1997;CERTIFICADA;23/2005;25/05/2005;54170.002931/2004-51;
SUDESTE;MG;BELO VALE;BOA MORTE;01420.000135/1998-92;15/04/1998;CERTIFICADA;23/2005;25/05/2005;54170.003741/2005-32;
SUDESTE;MG;MUZAMBINHO;MUZAMBINHO;01420.000153/1999-55;14/04/1999;CERTIFICADA;23/2005;25/05/2005;54170.003743/2005-21;
SUDESTE;MG;VAZANTE;CONSCIÊNCIA NEGRA;01420.000652/2004-06;28/09/2004;CERTIFICADA;23/2005;25/05/2005;54170.004012/2016-56;
SUDESTE;MG;VAZANTE;BAINHA;01420.001143/2004-92;25/10/2004;CERTIFICADA;23/2005;25/05/2005;54170.003742/2005-87;
NORDESTE;BA;FILADÉLFIA;PAPAGAIO;01420.000947/2004-74;27/10/2004;CERTIFICADA;23/2005;25/05/2005;;
SUDESTE;MG;CONTAGEM;ARTUROS ;01420.001226/2004-81;30/11/2004;CERTIFICADA;23/2005;25/05/2005;54170.003744/2005-76;
SUDESTE;MG;BELO HORIZONTE;LUÍZES;01420.001223/2004-48;30/11/2004;CERTIFICADA;23/2005;25/05/2005;54170.003740/2005-98;RTID
NORDESTE;BA;MORRO DO CHAPÉU;VELAME;01420.000602/2004-11;15/09/2004;CERTIFICADA;jul/05;19/04/2005;54160.002985/2006-06;DECRETO NO DOU
CENTRO-OESTE;MS;CORGUINHO;FURNAS DA BOA SORTE;01420.000269/1998-59;21/07/1998;CERTIFICADA;23/2005;25/05/2005;54290.000404/2004-46 ;TRD  - Despacho de 15/07/2000 - 18/07/2000
CENTRO-OESTE;MS;JARAGUARI;FURNAS DO DIONÍSIO;01420.000300/1998-05;11/08/1998;CERTIFICADA;23/2005;25/05/2005;54290.000401/2004-11 ;TRD  - Despacho de 15/07/2000 - 18/07/2000
NORDESTE;MA;BREJO;ÁRVORES VERDES E ESTREITO;01420.001804/2005-61;10/08/2004;CERTIFICADA;23/2005;25/05/2005;54230.004960/2005-87 ;PORTARIA NO DOU
SUL;RS;PORTO ALEGRE;ALPES;01420.001383/2004-97;16/12/2004;CERTIFICADA;26/2005;08/06/2005;54220.000183/2005-11;DECRETO NO DOU
SUDESTE;SP;ELDORADO;SAPATU;01420.000474/2000-81;09/08/2000;CERTIFICADA;23/2005;25/05/2005;54190.003180/2004-52 ;
SUDESTE;SP;ITAÓCA;CANGUME;01420.000588/2004-55;27/08/2004;CERTIFICADA;jul/05;19/04/2005;54190.001485/2005-19 ;RTID
SUDESTE;SP;IGUAPE | JUQUIÁ;MORRO SECO;01420.000473/2000-01;10/08/2000;CERTIFICADA;jul/05;19/04/2005;54190.001541/2005-15 ;
SUDESTE;SP;CANANÉIA;MANDIRA;01420.000440/2002-59;16/09/2002;CERTIFICADA;jul/05;19/04/2005;54190.003179/2004-96 ;
NORTE;AP;CALÇOENE;CUNANI;01420.000018/2005-46;06/01/2005;CERTIFICADA;jul/05;19/04/2005;54350.000346/2004-07 ;RTID - 2017
NORDESTE;BA;RIACHO DE SANTANA;AGRESTE;01420.000247/2005-61;21/02/2005;CERTIFICADA;jul/05;19/04/2005;54160.001705/2008-04;
SUDESTE;MG;PARAOPEBA;PONTINHA;01420.001221/2004-59;30/11/2004;CERTIFICADA;jul/05;19/04/2005;54170.002490/2004-98;
NORDESTE;MA;BURITI;SANTA CRUZ;01420.000243/2005-82;21/02/2005;CERTIFICADA;jul/05;19/04/2005;54230.003910/2005-82 ;
NORDESTE;BA;NOVA VIÇOSA;HELVÉCIA;01420.000968/2000-66;27/11/2000;CERTIFICADA;jul/05;19/04/2005;54160.004320/2008-91;
NORDESTE;BA;NOVA VIÇOSA;RIO DO SUL;01420.000246/2005-16;21/02/2005;CERTIFICADA;26/2005;08/06/2005;54160.001670/2013-62 ;
NORDESTE;BA;NOVA VIÇOSA;CÂNDIDO MARIANO;01420.000248/2005-13;21/02/2005;CERTIFICADA;26/2005;08/06/2005;54160.000296/2011-16;
NORDESTE;BA;CARAVELAS;VOLTA MIÚDA;01420.000241/2005-93;21/02/2005;CERTIFICADA;26/2005;08/06/2005;54160.000300/2011-46;
NORDESTE;BA;CARAVELAS;NAIÁ;01420.000249/2005-50;21/02/2005;CERTIFICADA;26/2005;08/06/2005;;
NORDESTE;BA;CARAVELAS;MUTUM;01420.000245/2005-71;21/02/2005;CERTIFICADA;26/2005;08/06/2005;;
NORDESTE;MA;ANAJATUBA;SÃO PEDRO;01420.000242/2005-38;21/02/2005;CERTIFICADA;jul/05;08/06/2005;54230.001606/2014-;
NORDESTE;MA;ANAJATUBA;SÃO ROQUE;01420.000240/2005-49;21/02/2005;CERTIFICADA;jul/05;08/06/2005;54230.005724/2013-98;
NORDESTE;PE;ITACURUBA;NEGROS DE GILÚ;01420.000285/2002-71;26/04/2002;CERTIFICADA;jul/05;19/04/2005;54141.000746/2003-99  e 54141.001004/2007-12;
NORDESTE;PE;GARANHUNS;CASTAINHO;01420.000252/1996-94;10/10/1996;CERTIFICADA;26/2005;08/06/2005;54140.002109/2005-29 ;TRD  - Despacho de 15/07/2000 - 18/07/2000
NORDESTE;PE;SALGUEIRO;CONCEIÇÃO DAS CRIOULAS;01420.000268/1998-96;21/07/1998;CERTIFICADA;26/2005;08/06/2005;54141.001339/2004-80;TRD  - Despacho de 15/07/2000 - 18/07/2000
NORDESTE;PE;AFOGADOS DA INGAZEIRA;LEITÃO;01420.000053/2004-84;03/02/2004;CERTIFICADA;32/2005;19/08/2005;;
NORDESTE;AL;UNIÃO DOS PALMARES;MUQUÉM;01420.001241/2004-20;02/02/2004;CERTIFICADA;jul/05;19/04/2005;;
NORDESTE;AL;SANTA LUZIA DO NORTE;QUILOMBO;01420.001240/2004-85;02/12/2004;CERTIFICADA;jul/05;19/04/2005;;
NORDESTE;AL;DELMIRO GOUVEIA;POVOADO CRUZ;01420.001297/2004-84;08/12/2004;CERTIFICADA;jul/05;19/04/2005;54360.001218/2011-82 ;
NORDESTE;AL;BATALHA;CAJÁ DOS NEGROS;01420.001245/2004-16;02/12/2004;CERTIFICADA;jul/05;19/04/2005;54360.000053/2013-93 ;RTID - 2017
NORDESTE;AL;POÇO DAS TRINCHEIRAS;ALTO DO TAMANDUÁ;01420.001246/2004-52;02/12/2004;CERTIFICADA;jul/05;19/04/2005;;
NORDESTE;AL;POÇO DAS TRINCHEIRAS;JACU E MOCÓ;01420.001244/2004-63;02/12/2004;CERTIFICADA;jul/05;19/04/2005;;
